Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Transcription_Factor_PPIs	ILF2	2/184	2.176838e-01	3.898058e-01	0	0	2.330497e+00	3.553337e+00	SCFD1;MRPL23
Transcription_Factor_PPIs	SIN3B	1/55	2.306635e-01	4.022143e-01	0	0	3.910757e+00	5.736279e+00	PPP1CC
Transcription_Factor_PPIs	CTCF	1/60	2.488137e-01	4.022143e-01	0	0	3.578435e+00	4.977785e+00	SUZ12
Transcription_Factor_PPIs	BRF2	1/60	2.488137e-01	4.022143e-01	0	0	3.578435e+00	4.977785e+00	TMEM33
Transcription_Factor_PPIs	ESR2	3/365	2.508662e-01	4.022143e-01	0	0	1.760419e+00	2.434370e+00	RPF2;MKI67;GTPBP4
Transcription_Factor_PPIs	TRIM28	2/204	2.527392e-01	4.022143e-01	0	0	2.097626e+00	2.885069e+00	PPP1CC;SNRPD1
Transcription_Factor_PPIs	SREBF2	1/62	2.559546e-01	4.022143e-01	0	0	3.460760e+00	4.716169e+00	GOLGB1
Transcription_Factor_PPIs	PPARGC1A	1/64	2.630283e-01	4.047527e-01	0	0	3.350557e+00	4.474648e+00	IQGAP1
Transcription_Factor_PPIs	AIRE	1/68	2.769766e-01	4.047527e-01	0	0	3.149889e+00	4.043897e+00	SNRPB
Transcription_Factor_PPIs	HDAC2	3/387	2.790873e-01	4.047527e-01	0	0	1.657694e+00	2.115599e+00	SUZ12;TOP2B;PIR
Transcription_Factor_PPIs	SMARCA4	2/219	2.791469e-01	4.047527e-01	0	0	1.951142e+00	2.489691e+00	TOP2B;CPSF2
Transcription_Factor_PPIs	BMI1	1/70	2.838525e-01	4.047527e-01	0	0	3.058279e+00	3.851293e+00	SUZ12
Transcription_Factor_PPIs	CTNNB1	3/398	2.933221e-01	4.106510e-01	0	0	1.610622e+00	1.975402e+00	SNRPD1;LIN7A;IQGAP1
Transcription_Factor_PPIs	ESRRB	1/84	3.302053e-01	4.540323e-01	0	0	2.540631e+00	2.815122e+00	OGT
Transcription_Factor_PPIs	EED	1/91	3.522556e-01	4.677720e-01	0	0	2.342199e+00	2.443846e+00	SUZ12
Transcription_Factor_PPIs	CDKN1B	1/93	3.584227e-01	4.677720e-01	0	0	2.291050e+00	2.350714e+00	NUP50
Transcription_Factor_PPIs	SRF	1/93	3.584227e-01	4.677720e-01	0	0	2.291050e+00	2.350714e+00	OGT
Transcription_Factor_PPIs	MAX	1/96	3.675646e-01	4.717079e-01	0	0	2.218365e+00	2.220264e+00	PPP1CC
Transcription_Factor_PPIs	KAT2A	1/107	3.999955e-01	4.929664e-01	0	0	1.987053e+00	1.820741e+00	WDHD1
Transcription_Factor_PPIs	HTT	2/293	4.066269e-01	4.929664e-01	0	0	1.449507e+00	1.304352e+00	SUZ12;NDUFA9
Transcription_Factor_PPIs	SMARCC1	1/114	4.197707e-01	4.929664e-01	0	0	1.863303e+00	1.617433e+00	TOP2B
Transcription_Factor_PPIs	CBX3	1/114	4.197707e-01	4.929664e-01	0	0	1.863303e+00	1.617433e+00	MKI67
Transcription_Factor_PPIs	YAP1	1/115	4.225426e-01	4.929664e-01	0	0	1.846865e+00	1.591009e+00	IQGAP1
Transcription_Factor_PPIs	EZH2	1/115	4.225426e-01	4.929664e-01	0	0	1.846865e+00	1.591009e+00	SUZ12
Transcription_Factor_PPIs	YY1	1/120	4.362067e-01	5.013122e-01	0	0	1.768818e+00	1.467481e+00	WDHD1
Transcription_Factor_PPIs	E2F1	1/126	4.521819e-01	5.120295e-01	0	0	1.683404e+00	1.336069e+00	UBXN1
Transcription_Factor_PPIs	NCOR1	1/155	5.232989e-01	5.839712e-01	0	0	1.364396e+00	8.835865e-01	PPP1CC
Transcription_Factor_PPIs	TBP	1/160	5.346013e-01	5.880615e-01	0	0	1.321156e+00	8.273529e-01	CPSF2
Transcription_Factor_PPIs	SMAD2	2/384	5.471863e-01	5.934274e-01	0	0	1.099082e+00	6.627093e-01	PPAN;HMGN3
Transcription_Factor_PPIs	SMAD1	1/192	6.009125e-01	6.426426e-01	0	0	1.098028e+00	5.592323e-01	UBXN1
Transcription_Factor_PPIs	NOTCH1	1/204	6.232907e-01	6.574436e-01	0	0	1.032491e+00	4.881023e-01	TOP2B
Transcription_Factor_PPIs	TCF3	1/248	6.952226e-01	7.226848e-01	0	0	8.466707e-01	3.077845e-01	MRPL23
Transcription_Factor_PPIs	NFKB1	1/254	7.039138e-01	7.226848e-01	0	0	8.263392e-01	2.901273e-01	ANXA4
Transcription_Factor_PPIs	SP1	1/263	7.164927e-01	7.259203e-01	0	0	7.975881e-01	2.659057e-01	OGT
Transcription_Factor_PPIs	EP300	1/473	8.976294e-01	8.976294e-01	0	0	4.379959e-01	4.730269e-02	PPP2R5C
